Imagem_Original,Imagem_Resultado,TAG_Lida,Tipo,Classe,Status
196.jpg,resultado_196.jpg,TSH,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,MSH,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-22,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,558610,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,FROM BNR TRAIN,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,"3""",Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,ROBIC,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,AIT,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,56-22,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-3278,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-327B,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-327A,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,66_,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,HEADE,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,328,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,OSC,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-424E,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,AEROBIC,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,ZONE 1ISWING,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,FROM BNR TRAIN_,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,"4""-AA",Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,B,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,R,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,W,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,RA,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,VBL-55-3284,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55Y61O,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,FE,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-42-,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-424-,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-424C,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,SIN,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,PB,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,EN,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,(IO_,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,45-4245,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,FAIL,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,YA,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-227,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,AH,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,65-225,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-2255,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,65-225455-225655-225,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,65-225 _,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,POSITIQN,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,REMOTI,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,555-424,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,65-424,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,ZIIC,Não cadastrado,Não cadastrado,Desconhecido
